code,idx,carm,carn,hprm,hprn,date,mret,yy,mm,dd,coname,house,analyst,title,recomm,tprice,cprice,eps,recommend,ch_recomm,ch_price,dev_price,ch_eps,pnum,nnum,tone,anal_cov,mkt,mv,beme,logmv,up_gr,down_gr,pos_tone,neg_tone,up_gr_size,down_gr_size,ch_price_size,ch_eps_size,pos_tone_size,neg_tone_size,up_gr_nanal,down_gr_nanal,ch_price_nanal,ch_eps_nanal,pos_tone_nanal,neg_tone_nanal,ch_price_up,ch_price_down,ch_price_pos,ch_price_neg,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,lrgcode,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,car
39340,732,0.0360335542,0.0519742949,0.0372449148,0.053467781,20101202.0,1.057145053,2010.0,12.0,2.0,한국경제TV,KDB대우증권,변승재,한국경제TV,매수,"3,500","2,690",493.0,4.0,0.0,-0.416666667,0.3011152416,0.006122449,0.0,1.0,-1.0,2.0,코스닥,85790000000.0,0.5724966896,25.175168287,0.0,0.0,0.0,1.0,0.0,0.0,-10.48965345,0.1541336834,0.0,25.175168287,0.0,0.0,-0.833333333,0.012244898,0.0,2.0,0,0.0,0.0,-0.416666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6033554225
68790,549,0.0102542955,0.0206895136,0.0099254301,0.020273056,20100312.0,0.3690557401,2010.0,3.0,12.0,DMS,한국투자증권,유종우,비상(飛上),매수,"13,000","8,700",144.0,4.0,1.0,0.8571428571,0.4942528736,-0.855222545,0.0,1.0,-1.0,11.0,코스닥,153729779790.0,0.9790689885,25.758462221,1.0,0.0,0.0,1.0,25.758462221,0.0,22.078681904,-22.02921762,0.0,25.758462221,11.0,0.0,9.4285714286,-9.407447996,0.0,11.0,0.8571428571,0.0,0.0,0.8571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0254295504
95660,1027,0.1147922947,0.1288246155,0.1179274443,0.1322068855,20120209.0,0.5489707697,2012.0,2.0,9.0,네오위즈,하나대투증권,황승택,설상가상(雪上加霜),BUY,"58,000","41,150",3451.0,4.0,0.0,-0.256410256,0.4094775213,0.0429132668,0.0,1.0,-1.0,21.0,코스닥,946728345600.0,0.2882908191,27.576278031,0.0,0.0,0.0,1.0,0.0,0.0,-7.070840521,1.1833881778,0.0,27.576278031,0.0,0.0,-5.384615385,0.9011786038,0.0,21.0,0,0.0,0.0,-0.256410256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.479229467
6260,1587,-0.061238507,-0.067689742,-0.061253124,-0.067733675,20140516.0,0.0670368689,2014.0,5.0,16.0,LS,하나대투증권,이상우,탄식,NEUTRAL,"81,000","75,100",5236.0,3.0,-1.0,-0.19,0.0785619174,0.20009168,0.0,1.0,-1.0,11.0,유가증권시장,2604980000000.0,1.154380072,28.588446114,0.0,1.0,0.0,1.0,0.0,28.588446114,-5.431804762,5.7203102125,0.0,28.588446114,0.0,11.0,-2.09,2.2010084804,0.0,11.0,0,-0.19,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.123850708
34020,1503,0.0487128031,0.0342172254,0.0482226713,0.0338688488,20140113.0,0.54,2014.0,1.0,13.0,두산중공업,한양증권,이동헌,목욕재계(沐浴齋戒),BUY,"45,000","35,250",541.0,4.0,0.0,-0.25,0.2765957447,-0.798884758,0.0,1.0,-1.0,11.0,유가증권시장,3758002300000.0,2.1053191694,28.954908619,0.0,0.0,0.0,1.0,0.0,0.0,-7.238727155,-23.13163518,0.0,28.954908619,0.0,0.0,-2.75,-8.787732342,0.0,11.0,0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8712803106
2550,1886,0.0379427061,0.0128872077,0.0381555032,0.012778458,20150803.0,-1.126772019,2015.0,8.0,3.0,KB손해보험,NH투자증권,한승희,KB손해보험,BUY,"38,400","27,700",4390.0,4.0,0.0,0.0666666667,0.3862815884,0.6362281029,0.0,1.0,-1.0,22.0,유가증권시장,1644000000000.0,1.0666579298,28.128153413,0.0,0.0,0.0,1.0,0.0,0.0,1.8752102275,17.895921683,0.0,28.128153413,0.0,0.0,1.4666666667,13.997018263,0.0,22.0,0,0.0,0.0,0.0666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7942706086
34220,2494,0.0429659679,0.063613306,0.0429908019,0.0639188661,20180124.0,0.0567058231,2018.0,1.0,24.0,LG디스플레이,신영증권,이원식,비상(飛上),매수,"39,000","33,250",5266.0,4.0,0.0,0.0833333333,0.1729323308,1.0789577576,0.0,1.0,-1.0,24.0,유가증권시장,10698689000000.0,1.4003126362,30.001142367,0.0,0.0,0.0,1.0,0.0,0.0,2.5000951972,32.369965293,0.0,30.001142367,0.0,0.0,2.0,25.894986182,0.0,24.0,0,0.0,0.0,0.0833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2965967936
370,2492,0.0012484432,-0.009103305,0.0010258149,-0.009188808,20180122.0,-0.729796275,2018.0,1.0,22.0,한화손해보험,유안타증권,정준섭,한화손해보헙,BUY,"11,000","8,720",1277.0,4.0,0.0,0.0,0.2614678899,0.015910899,0.0,1.0,-1.0,9.0,유가증권시장,950254768100.0,1.2463076377,27.579995963,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4388225292,0.0,27.579995963,0.0,0.0,0.0,0.1431980907,0.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1248443186
35760,308,-0.025287244,-0.044315361,-0.025115132,-0.042619809,20090330.0,-3.146297977,2009.0,3.0,30.0,CJ ENM,동양증권,한상화,CJ홈쇼핑,BUY,"63,000","55,400",2628.0,4.0,0.0,-0.148648649,0.1371841155,-0.078434742,0.0,0.0,0.0,19.0,코스닥,432478068300.0,1.5724414527,26.792797453,0.0,0.0,0.0,0.0,0.0,0.0,-3.982713135,-2.101486149,0.0,0.0,0.0,0.0,-2.824324324,-1.490260093,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.528724448
82850,306,-0.031965275,-0.01483999,-0.032797076,-0.014614299,20090326.0,1.262287306,2009.0,3.0,26.0,우리바이오,동양증권,우준식,우리이티아이,BUY,"14,000","12,150",1043.0,4.0,0.0,0.1666666667,0.1522633745,0.282902829,0.0,0.0,0.0,16.0,코스닥,72607776510.0,1.8893476098,25.008337868,0.0,0.0,0.0,0.0,0.0,0.0,4.1680563113,7.074929532,0.0,0.0,0.0,0.0,2.6666666667,4.5264452645,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.196527489
