code,coname,house,analyst,carm,yy,mm,dd,title
60,메리츠화재,대신증권,강승건,-0.002839977,2016.0,3.0,2.0,손해보험-1월 손해율 개선을 통해 시장의 우려 해소
810,삼성화재,대신증권,강승건,0.0097600234,2016.0,3.0,2.0,손해보험-1월 손해율 개선을 통해 시장의 우려 해소
1450,현대해상,대신증권,강승건,0.0838600234,2016.0,3.0,2.0,손해보험-1월 손해율 개선을 통해 시장의 우려 해소
2550,KB손해보험,대신증권,강승건,0.0355600234,2016.0,3.0,2.0,손해보험-1월 손해율 개선을 통해 시장의 우려 해소
5830,DB손해보험,대신증권,강승건,0.0509600234,2016.0,3.0,2.0,손해보험-1월 손해율 개선을 통해 시장의 우려 해소
810,삼성화재,대신증권,강승건,0.0352863769,2009.0,5.0,11.0,보험산업-Global 금융위기가 손해보험산업에 남긴 것
2550,KB손해보험,대신증권,강승건,0.0214863769,2009.0,5.0,11.0,보험산업-Global 금융위기가 손해보험산업에 남긴 것
4490,세방전지,삼성증권,이민정,-0.084941627,2009.0,7.0,9.0,자동차용 축전지 산업-납가격 상승으로 하반기 수익성 부담이 우려되는 시점
23890,한국아트라스비엑스,삼성증권,이민정,-0.032341627,2009.0,7.0,9.0,자동차용 축전지 산업-납가격 상승으로 하반기 수익성 부담이 우려되는 시점
9150,삼성전기,키움증권,김지산,-0.091177102,2010.0,8.0,6.0,전기전자/가전-LED 우려 지나치다
11070,LG이노텍,키움증권,김지산,-0.118777102,2010.0,8.0,6.0,전기전자/가전-LED 우려 지나치다
9830,한화솔루션,미래에셋증권,박재철,-0.012088525,2011.0,1.0,18.0,석유화학-정전으로 인한 부정적 효과는 일시적
51910,LG화학,미래에셋증권,박재철,-0.037688525,2011.0,1.0,18.0,석유화학-정전으로 인한 부정적 효과는 일시적
60,메리츠화재,동양증권,원재웅,0.0182771604,2014.0,3.0,3.0,손해보험-1월 실적 Review: 여전히 손해율 악화 국면
810,삼성화재,동양증권,원재웅,0.0027771604,2014.0,3.0,3.0,손해보험-1월 실적 Review: 여전히 손해율 악화 국면
