code,coname,house,analyst,carm,yy,mm,dd,title
39340,한국경제TV,KDB대우증권,변승재,0.0360335542,2010.0,12.0,2.0,한국경제TV
2550,KB손해보험,이트레이드증권,이치영,0.0722944436,2011.0,10.0,12.0,LIG손해보험
2550,KB손해보험,KB투자증권,유승창,0.0368366632,2013.0,11.0,1.0,LIG손해보험
2550,KB손해보험,우리투자증권,한승희,0.0224766772,2013.0,6.0,4.0,LIG손해보험
2550,KB손해보험,NH농협증권,김태현,0.0287206842,2014.0,1.0,2.0,LIG손해보험
2550,KB손해보험,우리투자증권,한승희,0.0399344553,2014.0,4.0,1.0,LIG손해보험
2550,KB손해보험,하이투자증권,유상호,-0.027667496,2014.0,11.0,26.0,LIG손해보험
2550,KB손해보험,NH투자증권,한승희,-0.02325468,2015.0,4.0,1.0,LIG손해보험
2550,KB손해보험,NH투자증권,한승희,0.0379427061,2015.0,8.0,3.0,KB손해보험
370,한화손해보험,메리츠종금증권,김고은,0.0120360794,2017.0,1.0,18.0,한화손해보험
370,한화손해보험,메리츠종금증권,김고은,-0.048141513,2017.0,10.0,16.0,한화손해보험
2550,KB손해보험,메리츠종금증권,김고은,0.0338360794,2017.0,1.0,18.0,KB손해보험
2550,KB손해보험,유안타증권,정준섭,-0.004039407,2017.0,1.0,31.0,KB손해보험
370,한화손해보험,메리츠종금증권,김고은,0.0012484432,2018.0,1.0,22.0,한화손해보험
5830,DB손해보험,메리츠종금증권,김고은,-0.014551557,2018.0,1.0,22.0,DB손해보험
370,한화손해보험,유안타증권,정준섭,0.0012484432,2018.0,1.0,22.0,한화손해보헙
5830,DB손해보험,유안타증권,정준섭,-0.014551557,2018.0,1.0,22.0,DB손해보험
2300,한국제지,HMC투자증권,이주병,-0.104084178,2009.0,4.0,10.0,한국제지
830,삼성물산,대신증권,정연우,0.0113982402,2009.0,1.0,8.0,삼성물산
32390,KTF,대신증권,이동섭,0.0364982402,2009.0,1.0,8.0,KTF
660,SK하이닉스,동양증권,김현중,0.1874127555,2009.0,3.0,30.0,하이닉스
660,SK하이닉스,동양증권,김현중,0.008980562,2009.0,11.0,23.0,반도체/장비
810,삼성화재,동양증권,최종원,-0.005504342,2009.0,3.0,2.0,삼성화재
1800,오리온홀딩스,동양증권,지기창,0.0459127555,2009.0,3.0,30.0,오리온
5380,현대차,동양증권,강상민,0.0925127555,2009.0,3.0,30.0,현대차
5830,DB손해보험,동양증권,최종원,0.0224076957,2009.0,4.0,27.0,동부화재
5930,삼성전자,동양증권,김현중,0.0297956578,2009.0,3.0,2.0,삼성전자
5930,삼성전자,동양증권,김현중,-0.006219438,2009.0,11.0,23.0,삼성전자
5930,삼성전자,동양증권,김현중,-0.006219438,2009.0,11.0,23.0,삼성전자
9150,삼성전기,동양증권,최현재,-0.004619438,2009.0,11.0,23.0,삼성전기
9270,신원,동양증권,한상화,0.028180562,2009.0,11.0,23.0,유통/의복
9970,영원무역홀딩스,동양증권,한상화,0.0495956578,2009.0,3.0,2.0,영원무역
15760,한국전력,동양증권,이재원,-0.058487244,2009.0,3.0,30.0,한국전력
