code,coname,house,analyst,carm,yy,mm,dd,title
2550,KB손해보험,대신증권,강승건,0.0114572025,2013.0,3.0,4.0,"LIG손해보험-핵심 지표 흐름은 양호,신계약비 추가 상각 우려가 부담"
2550,KB손해보험,대신증권,강승건,0.0114572025,2013.0,3.0,4.0,"LIG손해보험-핵심 지표 흐름은 양호,신계약비 추가 상각 우려가 부담"
370,한화손해보험,DB금융투자,이병건,0.0049599744,2018.0,12.0,4.0,한화손해보험-자보손해율 상승 및 자본증권 이자 부담
370,한화손해보험,DB금융투자,이병건,0.0049599744,2018.0,12.0,4.0,한화손해보험-자보손해율 상승 및 자본증권 이자 부담
4170,신세계,LIG투자증권,이지영,-0.01994621,2013.0,1.0,30.0,신세계-소매경기 부진 및 차입금 급증의 부담
4170,신세계,LIG투자증권,이지영,-0.01994621,2013.0,1.0,30.0,신세계-소매경기 부진 및 차입금 급증의 부담
103140,풍산,KB투자증권,김현태,-0.07722968,2015.0,1.0,30.0,풍산-메탈손실과 방산 성장성 둔화가 2015년 부담 요인
103140,풍산,KB투자증권,김현태,-0.07722968,2015.0,1.0,30.0,풍산-메탈손실과 방산 성장성 둔화가 2015년 부담 요인
103140,풍산,KB투자증권,김현태,-0.032942527,2015.0,4.0,8.0,풍산-전기동 가격 하락에 따른 메탈손실로 실적 부진
103140,풍산,KB투자증권,김현태,-0.032942527,2015.0,4.0,8.0,풍산-전기동 가격 하락에 따른 메탈손실로 실적 부진
2550,KB손해보험,대신증권,강승건,0.0024614595,2015.0,3.0,31.0,LIG손해보험-장기 위험손해율 급락으로 순이익 크게 증가
2550,KB손해보험,대신증권,강승건,0.0024614595,2015.0,3.0,31.0,LIG손해보험-장기 위험손해율 급락으로 순이익 크게 증가
5830,DB손해보험,대신증권,강승건,-0.01035468,2015.0,4.0,1.0,동부화재-장기 위험손해율 상승으로 경쟁사 대비 부진한 실적
5830,DB손해보험,대신증권,강승건,-0.01035468,2015.0,4.0,1.0,동부화재-장기 위험손해율 상승으로 경쟁사 대비 부진한 실적
5490,POSCO,미래에셋증권,이재광,0.0205810329,2015.0,2.0,9.0,POSCO-자회사 실적부진 및 대규모 영업외손실 반영
5490,POSCO,미래에셋증권,이재광,0.0205810329,2015.0,2.0,9.0,POSCO-자회사 실적부진 및 대규모 영업외손실 반영
4170,신세계,IBK투자증권,안지영,-0.000368965,2016.0,1.0,29.0,"신세계-신세계DF 양도 지연, 비용부담 우려보다 제한적"
