code,coname,house,analyst,carm,yy,mm,dd,title
810,삼성화재,LIG투자증권,지태현,0.0271759782,2010.0,4.0,26.0,"손해율 고민은 그만, 지속성장과 삼성생명 상장을 즐기자"
2550,KB손해보험,대신증권,강승건,0.0114572025,2013.0,3.0,4.0,"핵심 지표 흐름은 양호,신계약비 추가 상각 우려가 부담"
175330,JB금융지주,교보증권,황석규,-0.011093044,2015.0,11.0,26.0,두 가지 우려가 기 반영된 주가. 그러나 우려는 우려에 불과
10130,고려아연,신한금융투자,박광래,-0.008293044,2015.0,11.0,26.0,아연 수요 부진에 대한 우려는 지나치다
370,한화손해보험,DB금융투자,이병건,0.0049599744,2018.0,12.0,4.0,자보손해율 상승 및 자본증권 이자 부담
2550,KB손해보험,메리츠증권,박석현,-0.037124208,2009.0,3.0,27.0,GA채널 의존도 증가 및 유지율 하락으로 사업비 부담 증가
90370,메타랩스,하나대투증권,강희영,-0.079419439,2009.0,2.0,19.0,업황 부진을 피해갈 수 없어
10950,S-Oil,한국투자증권,신은주,-0.02356562,2009.0,1.0,28.0,Oil-4Q08 실적: 재고관련손실 보수적 인식으로 부진하나 2009년을 대비
89480,평산,현대증권,이상화,0.0028343136,2009.0,3.0,9.0,영업외손실 우려되지만 장기성장세는 유지
29780,삼성카드,HMC투자증권,구경회,-0.060520907,2010.0,1.0,5.0,매각설은 루머에 불과했지만 내용은 부정적
97950,CJ제일제당,HMC투자증권,정혜승,0.0280547555,2010.0,12.0,23.0,설탕 출고가 9.7% 인상으로 11년 원가부담 완화
34220,LG디스플레이,동부증권,이민희,-0.075664472,2010.0,2.0,24.0,주가 급락 배경: 중국 소비둔화 우려
4150,한솔홀딩스,동양증권,송치호,-0.009877662,2010.0,7.0,30.0,3분기 둔화 예상 & 무림증설로 인한 경쟁심화 우려도 상존
47040,대우건설,삼성증권,강광숙,-0.045607176,2010.0,1.0,29.0,부진한 실적보다 과도기의 후유증이 걱정
96240,청담러닝,삼성증권,김보영,-0.022458106,2010.0,10.0,15.0,3Q preview - 신규사업 투자비용 부담에 따른 실적부진
11070,LG이노텍,하나대투증권,전성훈,-0.060125921,2010.0,10.0,29.0,"후발 LED 업체로서의 고민, 4분기 적자 전환 우려"
14620,성광벤드,하나대투증권,장근호,0.0126338891,2010.0,1.0,12.0,4Q 실적 부진 말고는 당분간 우려할 점 없어 보인다
10620,현대미포조선,LIG투자증권,최광식,-0.078203515,2011.0,11.0,14.0,"별도 예상대로 부진, 연결 예상외의 부진"
11790,SKC,교보증권,손영주,-0.01567047,2011.0,3.0,8.0,원재료가 상승에 대한 우려 지나치다. 가격전가 임박!!!
2550,KB손해보험,대신증권,강승건,0.0789423108,2011.0,10.0,4.0,7월에 이어 부진한 실적 시현
104700,한국철강,대신증권,문정업,0.0186541182,2011.0,1.0,25.0,각 부문에서 최악 탈피로 올해 실적 호전 전망
2550,KB손해보험,동양증권,박용미,0.031184188,2011.0,8.0,1.0,손해율을 부탁해
80,하이트진로,메리츠종금증권,송광수,0.1468348012,2011.0,10.0,17.0,3Q 전망: 맥주사업 부진 우려 증가(합병효과 제외)
