,code,coname,carm,yy,mm,dd,title
32166,5490,POSCO,0.0205620953,2017.0,1.0,26.0,POSCO-4Q16 Review : 지나간 것은 뒤로 하고
32167,5490,POSCO,0.0205620953,2017.0,1.0,26.0,POSCO-4Q16 Review : 지나간 것은 뒤로 하고
25937,60,메리츠화재,0.0379182515,2015.0,1.0,1.0,손해보험-긍정적인 업종 기조변화가 가시화되는 국면
25947,810,삼성화재,0.0039182515,2015.0,1.0,1.0,손해보험-긍정적인 업종 기조변화가 가시화되는 국면
25951,1450,현대해상,0.0392182515,2015.0,1.0,1.0,손해보험-긍정적인 업종 기조변화가 가시화되는 국면
25953,2550,KB손해보험,-0.012981749,2015.0,1.0,1.0,손해보험-긍정적인 업종 기조변화가 가시화되는 국면
25973,5830,DB손해보험,-0.033281749,2015.0,1.0,1.0,손해보험-긍정적인 업종 기조변화가 가시화되는 국면
26021,32830,삼성생명,0.0005182515,2015.0,1.0,1.0,손해보험-긍정적인 업종 기조변화가 가시화되는 국면
26062,82640,동양생명,-0.001781749,2015.0,1.0,1.0,손해보험-긍정적인 업종 기조변화가 가시화되는 국면
26067,88350,한화생명,-0.060481749,2015.0,1.0,1.0,손해보험-긍정적인 업종 기조변화가 가시화되는 국면
28969,30,우리은행,0.0050924744,2016.0,11.0,8.0,은행/증권-방어와 역공
29009,5940,NH투자증권,0.0237924744,2016.0,11.0,8.0,은행/증권-방어와 역공
29012,6220,제주은행,-0.012607526,2016.0,11.0,8.0,은행/증권-방어와 역공
29046,24110,기업은행,0.0191924744,2016.0,11.0,8.0,은행/증권-방어와 역공
29075,39490,키움증권,0.0138924744,2016.0,11.0,8.0,은행/증권-방어와 역공
29152,139130,DGB금융지주,-0.008307526,2016.0,11.0,8.0,은행/증권-방어와 역공
29161,175330,JB금융지주,-0.009707526,2016.0,11.0,8.0,은행/증권-방어와 역공
8494,1300,제일모직,0.0542559488,2009.0,11.0,2.0,제일모직-3분기 실적 Review
13405,1300,제일모직,0.0363758324,2011.0,11.0,4.0,제일모직-3분기 실적 Review
7529,1430,세아베스틸,-0.047283247,2018.0,2.0,20.0,세아베스틸-부담스럽지 않은 밸류에이션 구간
7530,1430,세아베스틸,-0.047283247,2018.0,2.0,20.0,세아베스틸-부담스럽지 않은 밸류에이션 구간
17438,13030,하이록코리아,-0.016250302,2012.0,11.0,26.0,기계(중소형주)-낙동강변 이삭줍기(Season 3)
17439,14620,성광벤드,0.0060496985,2012.0,11.0,26.0,기계(중소형주)-낙동강변 이삭줍기(Season 3)
17444,23160,태광,-0.039750302,2012.0,11.0,26.0,기계(중소형주)-낙동강변 이삭줍기(Season 3)
28635,13030,하이록코리아,-0.011917103,2016.0,5.0,3.0,기계-다가오는 해빙(解氷)기
28637,14620,성광벤드,-0.110217103,2016.0,5.0,3.0,기계-다가오는 해빙(解氷)기
28647,23160,태광,-0.067517103,2016.0,5.0,3.0,기계-다가오는 해빙(解氷)기
